Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 22:05:12,Física,Séptimo semetre,Para adelantar o recursar alguna materia.,No,Física Atómica y Materia Condensada,Laboratorio de Física Contemporánea I,Física Estadística,El tiempo de traslado de ida y de regreso.,4,Esperaría que el curso intersemestral fuera mejor que un curso normal debido al corto tiempo que hay para cursarlo.,"Que haya un compromiso por parte del profesor en dar la clase de manera eficiente, es decir, que se vean los temas mas importantes del temario o los que puedan servir para posteriores materias o semestres.","Sí me gustaría, pero no los tomaría","Considero que deberían asignarse dependiendo del estado del estudiante, en el sentido de si se va a recursar o es la primera vez que se cursa la materia. Dando prioridad a los que van a recursar la materia, ya que por lo menos ya tienen idea de lo que se va a ver en el curso intersemestral.",Se debería abrir mínimo un curso intersemestral de cada materia de la carrera o máximo 3 cursos en el mismo horario y con un cupo máximo de 30 estudiantes por curso.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""ce353657c336c9a54a798d974325b1548218ccda31bc51a049a1ab9e07f3fbf6""}
-----BEGIN SIGNATURE-----
bG/jGyhBYkDGGjpGSV5G3epUVJq9rtSReMV3sYrcHuK+NMY1GIwnBZVhnXANGrI83jddlaVTCiZ6gH2PHg4/PH+Cme568lWAauBfnMugI8Xmn4iRjfcVcx8gqdzho8N6vpgOOkzZucsGMCcJzv0tf84F8k787WfYj1Kgs5m81C76Yu0+Hrw7xIUx2Z7UosuZK/wfnn/xMf5LZiRB2Wz6ORgym3Cb7QCRI9s4NDgUE7DM0Cxwom72xPiZbZ8l5yd8usa/jLxnPbNuYTjjJ02ZYcWzwQlx+yOnlFWDRKxpWoP7Rsm0hK9dEdrdSIpdgOcamfgcKHsOSLX2FCToaEbfS1aUj3A6g0uaDyKYzdaEZ+kYUXisLtIRdHDG2UTRTRXBFM5bFqLUnm+xJjP6B1nSpjieKBQSEPYV9SuTbmMFY9NcylgIzowRqKl9d5CJByfMZwevW1FHXkjSk+u8BdLJvRZF0YHaiWIUb81RflmKftT1AUn0g7Z9TyNiHqKVqPmYn4ZRv8wZW94ZYtLUy3K6Ec1UCh59wVhmDC95WVRQivr4/6cFR97n/8pvAnm75666O7dX+ldM/ISsJ48U7FxyCxb0bHIQZz1tU1dpQSNOWX/UOrV2XYC9FCmSYdlmHR1qmir7yHZEAbjnli05cNBBb/hyI9TBFpXK+10XdzxDAAY=
-----END SIGNATURE-----
###
"
17/5/2025 22:32:45,Física,8,por que me a afectado el paro,Sí,Fenomenos,Mecanica Analitica, Electromagnetismo,ninguno ,4,solo el tema de los tiempos,sea proporcional las cosas que se plantean con el tiempo,"Sí, me gustaría y los tomaría","si,me gustaria que las personas pudieran ingresar a mas cursos intersemestrales",me gustaria que tuviera preferencia las personas de semestrales mas adelante,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""0c52c24f4fc11d365dc6f5b3fe355c2ad0d4b64850a797dad089669a0476c85b""}
-----BEGIN SIGNATURE-----
ydqoLfYcd/rPN2oxAPt8v549x2ZmQR4nb1uGH9eAlRkmbZu+4eZmj8lNdRNm+x5+fclMG7Q+urUJTetNOihjSnXoJ5YE3DAtaUfWWw47DU7WDjVYb3jHqmvDhnR5f1XIx8pNc2Ik6HoJq6M06yCgEUHRG+xPE6bZhQV7l8ZwCM05z3WL7yUY1XaMjZFTZhfNS4DrYfnqJJFwTAkCEmHLfOyc0h6K6QG0x6FoChOfq2mg1sWbVjuJlUS2SHsFmT+fWAuDGUvf+wtf1A/kygUHJ7/bTbrVyC/vzDon/gKaNdtA+Ta3Xp+Syi+GByCpft034pxFFtIkHX0lzOdVRn1lT2j1+ENgftrpg3+/YzJZwcwCgRqrLR92LzSfsyeamWrlxLpVPknkuSqg22hKJANkU3V3rb4eZkE6WJSuK4jyPWUEOdXwX/ZkzNs5mE9JFK7qzkjvj7zKVC8Fzo2kd5yPXi6wG/FTmHK8tHK0laVqRK0NhRPtUez+vpydotC8FHOrDJ2DHZ/m/nsCgzRlw8aUTMMYMCPp7hT1D4R1b/EmwlaTPS1y0g9R2XhLvt6C0JZq/MnZ4wz8vMmZtbrdj1ej+gKYqilHn1IHpg7aexPbPhVfyQPZRvQ1dTs30Pc8AproPB54kW06zEVy2Tss83nq8B8R74Ea5P36pq6wsE2fh64=
-----END SIGNATURE-----
###
"
17/5/2025 23:19:46,Física,4to,Para poder meter más materias el siguiente semestre,No,Laboratorio de óptica,,,Soy foreano así que costos,4,He tenido compañeros que los han cursado y suenan bien,Que se vea todo el temario,"Sí, me gustaría y los tomaría",Debería ser más claro y píblico cuándo empiezan y cómo registrarse,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""94134db2183ee93e9fe9e9081ccbe94bb37fdfcd2532eb9fc0ccaa5d6cb7ff39""}
-----BEGIN SIGNATURE-----
XAZgGeAvQ6SgIhYSwOYgy9PdkYMA4meRb/UbFWGA6gGOePSWCKVezeA1J/O1h7p7h3OUrzvwmFx2iuJaLGdORMFUUdtZIsKoyf1LX2gHEGi4UigbI43yXf9xctD+ZYcuecu+mira1Lb2Ry2o9QgqTk37hcol3YSZPBDPD+ojfqLCzuVZTX5yaJxIa64W7u/8g7TPvz3EM1XdES+UBWtIa8W3VyZTo1YAH+a8wJOdpdf9R3gCoccjaK/DUdGNjZRs3Jh5ShUo45uvfJjY21tzVKFBzIjm3fSFE+XtUOnqa4g8g8n9Jnxbr51H7aVMum5wXgTlK5qBmNq5em4XnJxdrdq6YP5nJ9g0EOTQf/4zA3OoAUS8i0MXJMzmGrN+zB8Gr3nD+9pdchb8xU7QzmdrmxoWCNSbxTAxj+c3Z8Tf8RJR/1G3PG4VVT4fRW26M6U1IbYQU96axRJdWWiNsRaE26ECtmQWcOjWWWYCJ7cZdTNJuIqL+yMQEgVkALAAtoLGw/xwNJ29upQF26ugrHqbgiaGfxgxRb66J/mjUURZbRsco2cCrWo6FqjN73eiqBZKLGwfWadwWUwdpVZi3I5ujt+sp8eJb2aQnfjnnp327UaJvwtUeI27OQefjUIaixArl9pVpB0qRJTvkieDjDgVXnxbQOBenNH8TYWX0F2dtY8=
-----END SIGNATURE-----
###
"
17/5/2025 23:25:44,Física,Sexto,Regularizarme,Sí,Fenómenos Colectivos,Laboratorio de óptica,,Mantener el ritmo,5,He tenido profesores muy buenos que se adaptan al ritmo del grupo,Cubrir el temario ,"Sí, me gustaría y los tomaría","Precisamente las encuestas para conocer qué cursos se solicitan
",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""17dbe62a9c48e7721c63e20ae935d3e294a295b9b6958f6fb4ae0a97f90ba2e6""}
-----BEGIN SIGNATURE-----
w0ZXL9dzO0MPNm5hM0GEBcWHkwu7VWTc79SJxigUq8s4EJL7pcmGv/L/sXWE1QGnrHetgfP6zKBGMoqbnKqgn6bPa7o6JURFMqeQ/ZgBjQKCwiJFcAnNb94Im0Deqksq8Ck5JtIsAGnGBf+efPKb7tkdijBraKRQcZ8DFeOmgf1NFKFfDe3Y8bai/ZXUSOrsNmMfn6Ypg2xOfU+bQZoJ7ekfUW85pC54oTaSJkqR4ZzU9u6TRZKm65os86RxYSvjgbtLftVinAS6HrxRVT11FkfE/xekTr5aJPA4cu0oTC778ke+JoEisrTBr8my2wQWEu+47KupEE1Ccx08ChZl/S7Hsq3mV2nqThc6FBl4bzTSMHVT7JorgW76PjuKa4ae24zKK0PAO3p7zYhMei+Mbww4RM/JLK/723E6yqyn1wmWE8rqsepXAZWime2F4W8SLf7gEBfje3MxVDPNWlWzEJxTuVUKBrMIayGNUz6BV1CgItAwZg+0pAz033dwAKmefnjUH44XOLov3BlEbg4V+fWgLs8wAeDz2c9w0GDdBitUJOby6lYwGTPg7h8JogV82slUSCMGbdDJPQ/p4xy0gyBOJ0Ls0F0V8tPJN7AKv7n1Pzq3GrkX0OGRj2wHMzlVFRwBZHvQzkCPmCZ5rrbV6waqqiIHapCliaLcJWvq8KA=
-----END SIGNATURE-----
###
"
18/5/2025 0:04:48,Física,12,egresar lo antes posible,Sí,Dinamica de Medios Deformables,Relatividad,,,4,"Es una carga muy intensiva de trabajo, por lo que puede haber problemas en el entendimiento de algunos conceptos.",,No lo sé,Que se anuncien mediante correo electrónico a toda la facultad.,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""e8c3cd3c8534ccc293072ebcf13c5b178d86a47b0773cfa37594623c23f238bb""}
-----BEGIN SIGNATURE-----
YM8HgLTxvuzJy5VXSE7A7rNTzpQD96S7oCx4hblQIn1L0tu0lMv7U3OrJmGAziBZoAeX/R2i25PDSWCHaYHjhU5G/M+ZnmbcvytXEt0qLc5MGCT7ipt08m0gtu5VWJDzDSONZlW0Nzy5SUP/iZcVyBk77Pw8HB/j0YKJBIxkciV0zq/HqZrX73NFv/fCMvDcqnik9otYANw/97Jf6bz3TxA1VVxzrN1zy8qnfaJGc75+6r4vHI0BSuoGoPop4DD3VPN4Vr3pOW58x+0aGqF20hloZhEVcYLeXKPwmE0Dt9lC1X8D2YkwrUb8PAjB0nt8FSgqTzYPIZvLdCXtjQY7CZXHX8LbKJSgcOsJAXs+AbINtkRUswkkMG3Hxqh3YRDFFH5ImFWm8Y14QZT7oPVYIk6V/9IV0ZWvqjVvOL0YM/Bsk1bdTQ6O7g03A6edTvaRyK9DaS25rU6k56W7LfHavap3jbI5zMQkCWLLOHUOo/BFPDUq3Qx++yXNk1gAsEcCF+iSZirc/WsJ4s/ltHQymfpeU6z8SIlb4FcLbCv1So2Gc+rX7sstp4O3gDvCn+AW1Ce4otg0mIvHZTQ+ofM088l5nTMH1PXWDw0ySqGL41yCtnR8KRtBQfbufqlP+ZpZRpjorXyviMqNik7RVr1cTB5weLY5xyQr7Fgs5Upz74I=
-----END SIGNATURE-----
###
"
18/5/2025 0:27:45,Física,Cuarto semestre ,Ponerme al corriente más rápido con las materias que debo y facilitar el laboratorio de la materia teórica.,No,Electromagnetismo I ,Óptica,,El tiempo que estaría en la facultad sin descansar.,4,"Es más sencillo enfocarse en una sola materia y tienes más tiempo para explicar, resolver y preguntar tus dudas.",Que el profesor tenga ganas de enseñar y que sea paciente para resolver dudas.,"Sí, me gustaría y los tomaría",Quizá darle más difusión para que llegue a toda la comunidad.,Ojalá alcance grupo y gracias por tomar en cuenta nuestra opinión :),"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""8f27c10066faa9fe5d1932a5867573c33e19e14913f9eccbf6a57129ccd78a54""}
-----BEGIN SIGNATURE-----
JYy6NNwa0sb4n07grYmrcRy4zTtFX4zsMDkii//nyQW3nSiRT8p2o1RVCVObJIvGgLqkNI/dsuTvzv/pPOJ2exWxPblrzoYQXJq2giE4QZ6jjeH668K12fYdQLt+MGoidxEiZqS1jmPI8TiMGPvfYlESyWd6OT9IZ2LVZAO2XYUJzWp1CGWJigHYWAFoGk6CNg/G0/6sl7Pi7esG0lTSxx1JYl6/gTxTiTaQqfg2SRNUitBVHvapIVd/D3hqAzm2fzf1JTennNnEr+Qmm/ZDVNsTkWFDP8BUDrLLkeh16Fk7ifZ92LfzZnwJwwKeWLJzQj+zVUPkzt2bAEFbnFvZlJDSyKUaMa6KPHPIRzW52hcEqdgW5zc72ZGIdPlOOsD9UOdU3jYyeuLutqX9XcsQXZzFMDiQvlpdTIK3kLW/ZJJuSlcPHYb6WPrzHqkWv+HoUSDbKP1sVA66zXLAuJO24hZ1AGOxvMLp3dblvfJXOV2QsO4qsj5rRNxXyAmbjawX9lWjnrYVZVn2m19sAwQTL3ypK1zpD83Cp3rcyo20VBjSVBdGv1kVc+Rc0WT9jwBQTn21cM+p8FT/Gfj6jvCfYGWOr0pov+vdnjOWXLOEnt/1oVpxjrzw88V7qWOrCHQxR6viVzP/WGmYlIHP+fLQNSnClsalpzRPIaUT3p3CAq4=
-----END SIGNATURE-----
###
"
18/5/2025 0:30:27,Física Biomédica,Cuarto semestre,"Para poder aprovechar las vacaciones y adelantar créditos, bajando la carga durante el semestre.",Sí,Ingles Quinto semestre ,Anatomía Radiológica,Temas Selectos en Física Biológica,Probablemente que veamos el temario muy rápido.,4,"En el curso intersemestral de inglés que tome hace un año, la profesora fue muy activa y me agradó mucho como siempre estábamos participando activamente. ",Respetar los tiempos y dejar material que se tome como extra para incentivar a los estudiantes a repasar incluso después de las clases.,"Sí, me gustaría y los tomaría","Podría ser lo de inglés que unos compañeros me comentaban que había un problema con los pares e impares que aveces no se habilitaban, no estoy familiarizada pero he escuchado este problema de forma frecuente.",Me parecen una excelente opción para seguir aprendiendo.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""08fb3873a0ba5926755e300266c612f64d48a2abfd4c91f858e4b174ef7449b9""}
-----BEGIN SIGNATURE-----
q8KvTbdeRxCMJw/SXW+vLZL1sEnE8mJIsQLA1rStanyAxOnvQaml6+7uGmSEF3Y+Ue4lRVLxPo7Xv4W6xBH91DB21Tj03tRLEnBlBOQUL0p1idINbFaMZthSJ/6haMiagcF3Z9o0wdPzhZG1tccyfscmo5bYqXiofhvtlfKvuJ2KQNZmSqMFTpTnS2IfvjECNAvkqT3mMwFMz8kt0QSCvYc9eUKMIR6XOKWlR6Sn7xvlpmXgiiSsQLZc6l2y9rVFUmzUGzFYgTiICK832/Cw3JYMLaQDiXwj9NwpaLxYJ57q7Xt+MeK5SAiRBR1m2HpxWMukqndMBvDK8AE6T94cENI2O28YKuEm0QfOqhS9x7gipvLyZfXQEXcAIIQCtLpsIVeynzSVYB0N2Z0l9/uxkV2zSIBgN9mAzu0YvaFTpHm3IA6wJeRZMRxWZQIcRD+UEI13w0Vrr8RoaWo3B5rgHHssLfTZJBWZX3TBdD56l0DCKsqlqEQxhiVLCJa8R8zz3QeCHXiS974b8C19TEOXoZcNvBUlJLL8CprI+yCk4F299WTQUc/l0A+IufVjj4v7k3qU3jTdWOXXhsc/BfaCk3JyYgz0L0E5Eh3VcfHEKusTYKQ2o+t9DaiT61S8GhgevSbrrrgKUmQIczJRYOnK/v9+KeZEHmTLV5ON4kUQRwQ=
-----END SIGNATURE-----
###
"
18/5/2025 0:55:42,Física,Séptimo ,Soy alumno irregular y tengo que avanzar lo mejor y más rápido posible mis últimos semestres por la edad que tengo actualmente ,Sí,Laboratorio de Física contemporánea I,Dinámica de Medios Deformables,Física nuclear y subnuclear,"Actualmente trabajo home office con flexibilidad de horarios por lo que no creo que el tiempo y el horario sea impedimento, además que vivo muy cerca de la facultad ",4,"La exigencia es muy similar a un curso regular, o incluso más debido al poco tiempo, la falta de tiempo para madurar los conceptos puede ser compensado con estudio en investigación autodidacta ","Una exigencia de tareas y carga no tan pesada, es decir, no exagerar tratando de compensar el poco tiempo.","Sí me gustaría, pero no los tomaría",Me parecen bien estas encuestas ,No,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""6fc4f1ddcb6050608cb693663736199a62b6a0baf3e562b795de606453b77882""}
-----BEGIN SIGNATURE-----
q4X8W6EUhHpOfnfUjGFmtiqPaTKsGBnkZqyGt37xrrk1F5X0fZ/WxBiQ6z9tmmlyU2v9+pvQrU0tpDKp9B7pWuQ0SWWglzqNRaSOIgLuGihx/6I3PAs2fEi2tx33+tirMhbUUD6GwyXqskVKaCzBi4hkH+VOwcx84dbRu2SeSoXnqEk/zgke2sMCPKD5W4gGtQpjWNRXOfTv0PTQMvhg0PRw4xCsfIf9tre+PkAzs670P+VWjN7zaLSThjBq2XK0SzHhid4eL81W6h5tfQ3zPFv0ARmuYzHdnvFRTH3zFAMqwA7loHe6AtddiOt/v7DmzLuAfvPuwoieJTXnEY5UhX1RLV34rftmz6kmgQi2C5EYo120Rgxv7vjJfjLbIeVdqaR95PoGSSfI6mOUgqeK1X3MhfxMA1CNfgXQpwC0mfeUfjKX3q306pwTBs7Jx1U1WFmVM8ifZYpc13x73y6MlyIb5LnXnbL7SxE5DR4p5rNSeFfjfFgFFp+baagZEyZFjw8Zzagyj20WpRH5+5ohoZcrPFRdhz8g3A9StDSAfpYz6SDS5dU8Akk0OhhgUutv/5bZy+/+C0GJc4qTjgV88+43xAy5GOjbJoSP5Vpt7vdm0BfD+iZGl6jv7UZ01cRyy2e/5OeKHJb7WtBplq2bQxHmBF3L8ibwvt3TFWr1If4=
-----END SIGNATURE-----
###
"
18/5/2025 0:57:38,Física,Cuarto ,Poder cursar materias que no he podido pasar por distintas circunstancias ,No,Mecánica vectorial,Laboratorio de mecánica vectorial ,,Que el temario sea demasiado pesado,,,Que se expliquen bien los temas y no solo pasar de tema por darlo por visto ,"Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""c3b2bfe7ef4f4e9f41943e529893236e7d33be8e8a07d7729047f8dd6787f9e6""}
-----BEGIN SIGNATURE-----
BQ9tBhAoZUWiGSv4FSDJ7D62bRY23Vv1gspF8hdpWeeZhzLIhDIkMeraYGHkR7VuKwlybv4ZgsP1sb3eFAKKpjssbTM+3VfLVcakj1OJQJTIPbPa1bs3hiCGZ/HHnk8s3Drm7/IMulsiZPsmbDsYJlXLAhlkfsB6YqWj3Z/IYIqN3npY9SzZ2VvIfbRAbaVlPQZ0Iaaw3o14UuwTebDlTlG6xgdNYdYAYBuAi2TJFK278aG/ZUUYJ1+uSpByinRw+a+2wzDd3sxfvgMOZ3V6elwF8/E3HKM8Y3se/KSsPZmyYHya+ONz1Ukm6xToY2XgDor4xb8oezv31zRNTIJSeNp9rGyWMKMMN78e9apC0k8gUP5XOefstEH4VoMpIJrMHLWep84LN4AiH8K92jFYEEZgEwE0NTr+PNwuXnCmWg4+0vMunhcnHnCxBWI8UGEv5NUKzgRzeNMdPPTpvy8+n4qqT1rYeiuFxY0vlFhJYJ0QZypp0dYeVJ1jDZXn1etYz5QeMspmIQxgYMy5aezdiXk6OhrUXUkmmts+y9717NrMPSTPoRYKkR/iHtNOY17E+kinhMtWgC3B44zkTeOgkeRjroJTLXcyL9wPscnDtxT1P9X59ASM6cXJVj5v8T1IXLZ6pvkv3qcKdQ3XLIOnAb+ug2HHaUaS1oe+g9UJh3M=
-----END SIGNATURE-----
###"
18/5/2025 1:06:34,Física,Sería mi 12vo semestre ,Para terminar con materias. ,Sí,Laboratorio de física contemporánea II,Física computacional,Electromagnetismo II,"El horario, pues al vivir lejos de la facultad, me resulta más sencillo asistir a clases a partir de las 9 o 10 am que antes de estas horas. ",4,"Creo que son buenas opciones siempre y cuando el estudiante se comprometa. También el hecho de que somo sea una materia, implica total atención a ella.","Horario intermedio, tareas básicas y algunos textos para completar temas. ","Sí me gustaría, pero no los tomaría",Una votación de las materias que los alumnos mas requieran así como si son las últimas que faltan a algunos alumnos para terminar.  ,"Hay veces que solo dan intersemestrales de primeros semestres o en ocasiones de últimos.  Considero que debería ser una decisión que incluya la opinión de los alumnos para abrir las materias de estos cursos, así como los horarios. ","###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""681322a540ed469ccb623319d8b585a8f0d88b0e0d12563821f4c78c86162fa4""}
-----BEGIN SIGNATURE-----
ZzL3yGJ7xeyfzAGLx8mxJdpQglXGHh0uRXDRoZo3lOdVf8lCYe55/VqpRnTRJFJNTLBw8QaeFpvoHHbsDZBbhb9GNIaC+pMIoASXZxlttU+oR1ECeZUZGJjfpPZnd0lHHTNRGdlsIsY+7uke1Qwz/SsrmP+5lnwoSjG9Tnxg3Di3DmQjiMF77qX/y185iuq9tkfFkKvMfFYDsu6yBIzKjf5E7vHr8wy9nqbnAAj8xc9yPltgWx4Fb2jtygyrrLV0MUmzumc66YhF5FEDl1UlGtY+TddCj9dLPf9Ja1DKhaFokjInA0hTsqHNxCI0zg+nGqvP5OzcSNe4i1kShxym5dZeLgQ4U6Df2Mu0xhUFhHVjWVzraPkufD0J11IjPO8VIAOfu45IDdYAE9gOFNCZ0xqYlVWZdlfNnhu7j1CthFxJi4c+k/VE4IhROgHxZrlhMkH4p6mpMwRR7sJqunqYqH4jVWOpkgSfYSzKXGjyMtzpLVtOz+SNpZTrrRTmFNEZDyWKqPNVnucI49+S6wUnbOACEgT/aaWdnj2tY9PM6gIY9sDkCe1cBlZQoVuqwQOhzDVa3/bn1/PkwFzC/+tXJnFath/dc0HsJ2p3OREHT6lpMW9PInStSeFAH5Bmqeieu6/6zlqRaqRi4uauMbQRSWYLLE0eFGpOi2/a9NnD0bE=
-----END SIGNATURE-----
###
"
18/5/2025 1:37:24,Física,8vo,No retrasarme más ,Sí,Electromagnetismo I,Lab Fenómenos Colectivos,Lab Electromagnetismo ,"Poco tiempo para evaluar, clases pesadas ",3,No te puedes detener tanto en los temas por el tiempo pero igual eso ayuda a que se pueda enfocar en lo más relevante (si se da bien el curso),Que se califique con tareas y exámenes,"Sí, me gustaría y los tomaría","Si, los horarios a veces son ridículos y se cargan muchas horas algunos días y muy pocas otros ",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""d6e8fdf7ddb9190f57f405adcb679dcd6ac06c006752d480b935587733b1789e""}
-----BEGIN SIGNATURE-----
COVPMZIRbzHSIc+9QyYWIbhityT1Q4MhnzGG31+99iFRjl3uZLCb9cDXvgBsRRTvNFi7AexYe7b3k7Vza6FYhwujcQOCjJEXz+dwy2tmRo3uET2E2Y0slpJPDtqu1Zn9pXfNabuABEKc+EgvZChmQE14TP/sMwI4R+dKVGBK7pVaFfrZxjlIbWnULmlhbeDtTHIN8NGk7NsHrCn5hWguMl0y96LgASWrIvQdZSypzhZnl4UwUYHDJdk9efxdiNJTgyCLaVNfxujl8fB65LlCSbfj1GYYEI3s1sXBsVZ9b0rfqUA0bLZCkccp45ohD9iQNHMNaEGL43IJLFdjiomgRk0dxdrcAqs0/+taN9VZs+nEujv6+dJOCZYFDQtJ01KnQ02lbJdg7lKKBqPfaVS8F8tGauG3IfsA2lO00pa06sjbkkz1Gj60UaRI8muVgkaBnP0E9XE2gJ0nOAwsIZekSIYrECV210tSEetE0k5+0VN6y57T4UKrDwTg+ddUAXyFkUnqAyZpe7YEFfG2P42fRXi1ZEPQ8FAUpKc7YwD9flE1aMZcPr7utfvyaRWwjl8SvOeAui8sdSh0JjxaDitCksUC2s4BKkY8bAKFvUHjkm43HuC4rjyAXmVodIHuRZBRxoxe2hfZgKmzGTpTobmpm2bQkc2Vj8h6pFuUvNpYYrg=
-----END SIGNATURE-----
###
"
18/5/2025 7:19:20,Física,segundo,para adelantar materias,No,fenomenos,mecanica,algebra para fisicos,el ritmo,,,que el profesor este comprometido con el curso y no tenga distracciones,"Sí, me gustaría y los tomaría",que se anuncien un mes antes,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""e81b62c569e212a178b9b71cec03d37bef0b5d672f56bac2bff74f81d7de6509""}
-----BEGIN SIGNATURE-----
II2jNgK0Ct0Jp03MvPNO2sDOKxiGawAqCt1MnTATe2nkbGlEQk1hxwJQ+C9q7xVZz/9tJu6JkY6vvm+SplW47mr2qDCgCIDbk+ZoiqcXHIoQc48D3oriuCAmrvHbAZV689i55CEZbOauxEfX1Dedo/y7SMVzdwMzfxHgYh5yNursaLnPl/ckNgdmiM/Wblyhz8O7/0/T6gHITvQLM1x2Xi9H92x2Dmtg1h2m2U0fhE527YhEmvSAwdwbcCbstSqWYUgygXzAaLu6SCY79Ex9zExf+oDwm9h9CNN2UWSRLjdb08e7SSTTuWIaepuKggZwcjP61qT+B16qt373c2RCdCeaKt00mYv4M3iLT8EKAjn7yewSwxj03tBU66b5addsz6eAlEwF17JnMD+zQcLHhNZmb3fZlSNvXVq/3OnVKWL+AfVvWSeFnn+i+yXjwc5OOP2RHx8+1+eSPMcBU9FastIAZP3yHi5C9btKy3K+pr3V4ERumOtlyPhIjVKMcuU8oFrfFZkxyGZNI3NrsYlOSlDP49JfL4yeJiRz4kB/mo2nMLd6oLNFSe1gehjaW+Ta6yD4v+mB9ifqLdyGDt3Mn98CIMkQUkg5EKUcPOn8qtZWl4NzNw5BnYbCLB+58zqnFHGmCBIgAq+55Iu6J/h4IVAdgyxmGhB8/zsnzG8SiJg=
-----END SIGNATURE-----
###
"
